time,abgw_fds,instance
25_05_14:35,428,10.253.40.24:44444
25_05_14:40,449,10.253.40.24:44444
25_05_14:45,485,10.253.40.24:44444
25_05_14:50,498,10.253.40.24:44444
25_05_14:55,556,10.253.40.24:44444
25_05_14:00,384,10.253.40.25:44444
25_05_14:05,389,10.253.40.25:44444
25_05_14:10,399,10.253.40.25:44444
25_05_14:15,401,10.253.40.25:44444
25_05_14:20,389,10.253.40.25:44444
25_05_14:25,415,10.253.40.25:44444
25_05_14:30,409,10.253.40.25:44444
25_05_14:35,417,10.253.40.25:44444
25_05_14:40,383,10.253.40.25:44444
25_05_14:45,389,10.253.40.25:44444
25_05_14:50,396,10.253.40.25:44444
25_05_14:55,394,10.253.40.25:44444
25_05_14:00,344,10.253.40.26:44444
25_05_14:05,303,10.253.40.26:44444
25_05_14:10,321,10.253.40.26:44444
25_05_14:15,326,10.253.40.26:44444
25_05_14:20,341,10.253.40.26:44444
25_05_14:25,333,10.253.40.26:44444
25_05_14:30,357,10.253.40.26:44444
25_05_14:35,355,10.253.40.26:44444
25_05_14:40,336,10.253.40.26:44444
25_05_14:45,323,10.253.40.26:44444
25_05_14:50,318,10.253.40.26:44444
25_05_14:55,321,10.253.40.26:44444
25_05_14:00,590,10.253.40.27:44444
25_05_14:05,593,10.253.40.27:44444
25_05_14:10,619,10.253.40.27:44444
25_05_14:15,635,10.253.40.27:44444
25_05_14:20,640,10.253.40.27:44444
25_05_14:25,604,10.253.40.27:44444
25_05_14:30,610,10.253.40.27:44444
25_05_14:35,627,10.253.40.27:44444
25_05_14:40,622,10.253.40.27:44444
25_05_14:45,628,10.253.40.27:44444
25_05_14:50,619,10.253.40.27:44444
25_05_14:55,631,10.253.40.27:44444
25_05_14:00,438,10.253.40.28:44444
25_05_14:05,433,10.253.40.28:44444
25_05_14:10,444,10.253.40.28:44444
25_05_14:15,430,10.253.40.28:44444
25_05_14:20,414,10.253.40.28:44444
25_05_14:25,425,10.253.40.28:44444
25_05_14:30,415,10.253.40.28:44444
25_05_14:35,425,10.253.40.28:44444
25_05_14:40,419,10.253.40.28:44444
25_05_14:45,419,10.253.40.28:44444
25_05_14:50,436,10.253.40.28:44444
25_05_14:55,429,10.253.40.28:44444
25_05_14:00,417,10.253.40.29:44444
25_05_14:05,430,10.253.40.29:44444
25_05_14:10,435,10.253.40.29:44444
25_05_14:15,437,10.253.40.29:44444
25_05_14:20,415,10.253.40.29:44444
25_05_14:25,415,10.253.40.29:44444
25_05_14:30,426,10.253.40.29:44444
25_05_14:35,438,10.253.40.29:44444
25_05_14:40,441,10.253.40.29:44444
25_05_14:45,438,10.253.40.29:44444
25_05_14:50,445,10.253.40.29:44444
25_05_14:55,450,10.253.40.29:44444
25_05_14:00,419,10.253.40.30:44444
25_05_14:05,435,10.253.40.30:44444
25_05_14:10,430,10.253.40.30:44444
25_05_14:15,436,10.253.40.30:44444
25_05_14:20,441,10.253.40.30:44444
25_05_14:25,417,10.253.40.30:44444
25_05_14:30,433,10.253.40.30:44444
25_05_14:35,439,10.253.40.30:44444
25_05_14:40,443,10.253.40.30:44444
25_05_14:45,455,10.253.40.30:44444
25_05_14:50,444,10.253.40.30:44444
25_05_14:55,456,10.253.40.30:44444
