time,abgw_fds,instance
28_05_23:15,576,10.253.40.21:44444
28_05_23:20,558,10.253.40.21:44444
28_05_23:25,560,10.253.40.21:44444
28_05_23:30,551,10.253.40.21:44444
28_05_23:35,569,10.253.40.21:44444
28_05_23:40,587,10.253.40.21:44444
28_05_23:45,591,10.253.40.21:44444
28_05_23:50,582,10.253.40.21:44444
28_05_23:55,551,10.253.40.21:44444
28_05_23:00,469,10.253.40.22:44444
28_05_23:05,469,10.253.40.22:44444
28_05_23:10,477,10.253.40.22:44444
28_05_23:15,480,10.253.40.22:44444
28_05_23:20,462,10.253.40.22:44444
28_05_23:25,451,10.253.40.22:44444
28_05_23:30,445,10.253.40.22:44444
28_05_23:35,448,10.253.40.22:44444
28_05_23:40,460,10.253.40.22:44444
28_05_23:45,461,10.253.40.22:44444
28_05_23:50,465,10.253.40.22:44444
28_05_23:55,446,10.253.40.22:44444
28_05_23:00,557,10.253.40.23:44444
28_05_23:05,493,10.253.40.23:44444
28_05_23:10,514,10.253.40.23:44444
28_05_23:15,519,10.253.40.23:44444
28_05_23:20,510,10.253.40.23:44444
28_05_23:25,489,10.253.40.23:44444
28_05_23:30,493,10.253.40.23:44444
28_05_23:35,481,10.253.40.23:44444
28_05_23:40,496,10.253.40.23:44444
28_05_23:45,523,10.253.40.23:44444
28_05_23:50,536,10.253.40.23:44444
28_05_23:55,496,10.253.40.23:44444
28_05_23:00,598,10.253.40.24:44444
28_05_23:05,574,10.253.40.24:44444
28_05_23:10,613,10.253.40.24:44444
28_05_23:15,602,10.253.40.24:44444
28_05_23:20,602,10.253.40.24:44444
28_05_23:25,577,10.253.40.24:44444
28_05_23:30,569,10.253.40.24:44444
28_05_23:35,554,10.253.40.24:44444
28_05_23:40,588,10.253.40.24:44444
28_05_23:45,596,10.253.40.24:44444
28_05_23:50,571,10.253.40.24:44444
28_05_23:55,534,10.253.40.24:44444
28_05_23:00,423,10.253.40.25:44444
28_05_23:05,408,10.253.40.25:44444
28_05_23:10,417,10.253.40.25:44444
28_05_23:15,432,10.253.40.25:44444
28_05_23:20,434,10.253.40.25:44444
28_05_23:25,420,10.253.40.25:44444
28_05_23:30,407,10.253.40.25:44444
28_05_23:35,420,10.253.40.25:44444
28_05_23:40,445,10.253.40.25:44444
28_05_23:45,441,10.253.40.25:44444
28_05_23:50,447,10.253.40.25:44444
28_05_23:55,423,10.253.40.25:44444
28_05_23:00,549,10.253.40.26:44444
28_05_23:05,511,10.253.40.26:44444
28_05_23:10,496,10.253.40.26:44444
28_05_23:15,511,10.253.40.26:44444
28_05_23:20,484,10.253.40.26:44444
28_05_23:25,501,10.253.40.26:44444
28_05_23:30,512,10.253.40.26:44444
28_05_23:35,506,10.253.40.26:44444
28_05_23:40,515,10.253.40.26:44444
28_05_23:45,499,10.253.40.26:44444
28_05_23:50,486,10.253.40.26:44444
28_05_23:55,460,10.253.40.26:44444
28_05_23:00,592,10.253.40.27:44444
28_05_23:05,608,10.253.40.27:44444
28_05_23:10,621,10.253.40.27:44444
28_05_23:15,617,10.253.40.27:44444
28_05_23:20,611,10.253.40.27:44444
28_05_23:25,581,10.253.40.27:44444
28_05_23:30,606,10.253.40.27:44444
28_05_23:35,602,10.253.40.27:44444
28_05_23:40,595,10.253.40.27:44444
28_05_23:45,619,10.253.40.27:44444
28_05_23:50,623,10.253.40.27:44444
28_05_23:55,623,10.253.40.27:44444
28_05_23:00,434,10.253.40.28:44444
28_05_23:05,436,10.253.40.28:44444
28_05_23:10,436,10.253.40.28:44444
28_05_23:15,439,10.253.40.28:44444
28_05_23:20,431,10.253.40.28:44444
28_05_23:25,439,10.253.40.28:44444
28_05_23:30,459,10.253.40.28:44444
28_05_23:35,467,10.253.40.28:44444
28_05_23:40,480,10.253.40.28:44444
28_05_23:45,496,10.253.40.28:44444
28_05_23:50,497,10.253.40.28:44444
28_05_23:55,474,10.253.40.28:44444
28_05_23:00,344,10.253.40.29:44444
28_05_23:05,359,10.253.40.29:44444
28_05_23:10,351,10.253.40.29:44444
28_05_23:15,341,10.253.40.29:44444
28_05_23:20,345,10.253.40.29:44444
28_05_23:25,335,10.253.40.29:44444
28_05_23:30,346,10.253.40.29:44444
28_05_23:35,352,10.253.40.29:44444
28_05_23:40,357,10.253.40.29:44444
28_05_23:45,368,10.253.40.29:44444
28_05_23:50,367,10.253.40.29:44444
28_05_23:55,381,10.253.40.29:44444
28_05_23:00,570,10.253.40.30:44444
28_05_23:05,560,10.253.40.30:44444
28_05_23:10,568,10.253.40.30:44444
28_05_23:15,598,10.253.40.30:44444
28_05_23:20,602,10.253.40.30:44444
28_05_23:25,603,10.253.40.30:44444
28_05_23:30,605,10.253.40.30:44444
28_05_23:35,641,10.253.40.30:44444
28_05_23:40,641,10.253.40.30:44444
28_05_23:45,605,10.253.40.30:44444
28_05_23:50,568,10.253.40.30:44444
28_05_23:55,589,10.253.40.30:44444
28_05_23:00,547,10.253.40.31:44444
28_05_23:05,567,10.253.40.31:44444
28_05_23:10,548,10.253.40.31:44444
28_05_23:15,546,10.253.40.31:44444
28_05_23:20,529,10.253.40.31:44444
28_05_23:25,512,10.253.40.31:44444
28_05_23:30,534,10.253.40.31:44444
28_05_23:35,546,10.253.40.31:44444
28_05_23:40,550,10.253.40.31:44444
28_05_23:45,546,10.253.40.31:44444
28_05_23:50,550,10.253.40.31:44444
28_05_23:55,543,10.253.40.31:44444
28_05_23:00,501,10.253.40.32:44444
28_05_23:05,500,10.253.40.32:44444
28_05_23:10,480,10.253.40.32:44444
28_05_23:15,472,10.253.40.32:44444
28_05_23:20,494,10.253.40.32:44444
28_05_23:25,495,10.253.40.32:44444
28_05_23:30,472,10.253.40.32:44444
28_05_23:35,480,10.253.40.32:44444
28_05_23:40,482,10.253.40.32:44444
28_05_23:45,498,10.253.40.32:44444
28_05_23:50,506,10.253.40.32:44444
28_05_23:55,498,10.253.40.32:44444
28_05_23:00,83,10.253.40.33:44444
28_05_23:05,39,10.253.40.33:44444
28_05_23:10,25,10.253.40.33:44444
28_05_23:15,46,10.253.40.33:44444
28_05_23:20,56,10.253.40.33:44444
28_05_23:25,45,10.253.40.33:44444
28_05_23:30,42,10.253.40.33:44444
28_05_23:35,42,10.253.40.33:44444
28_05_23:40,37,10.253.40.33:44444
28_05_23:45,20,10.253.40.33:44444
28_05_23:50,30,10.253.40.33:44444
28_05_23:55,35,10.253.40.33:44444
28_05_23:00,131,10.253.40.34:44444
28_05_23:05,103,10.253.40.34:44444
28_05_23:10,94,10.253.40.34:44444
28_05_23:15,94,10.253.40.34:44444
28_05_23:20,103,10.253.40.34:44444
28_05_23:25,111,10.253.40.34:44444
28_05_23:30,108,10.253.40.34:44444
28_05_23:35,103,10.253.40.34:44444
28_05_23:40,115,10.253.40.34:44444
28_05_23:45,115,10.253.40.34:44444
28_05_23:50,124,10.253.40.34:44444
28_05_23:55,145,10.253.40.34:44444
28_05_23:00,91,10.253.40.35:44444
28_05_23:05,68,10.253.40.35:44444
28_05_23:10,48,10.253.40.35:44444
28_05_23:15,47,10.253.40.35:44444
28_05_23:20,46,10.253.40.35:44444
28_05_23:25,112,10.253.40.35:44444
28_05_23:30,111,10.253.40.35:44444
28_05_23:35,44,10.253.40.35:44444
28_05_23:40,48,10.253.40.35:44444
28_05_23:45,45,10.253.40.35:44444
28_05_23:50,44,10.253.40.35:44444
28_05_23:55,45,10.253.40.35:44444
28_05_23:00,11,10.253.40.36:44444
28_05_23:05,10,10.253.40.36:44444
28_05_23:10,7,10.253.40.36:44444
28_05_23:15,7,10.253.40.36:44444
28_05_23:20,8,10.253.40.36:44444
28_05_23:25,10,10.253.40.36:44444
28_05_23:30,13,10.253.40.36:44444
28_05_23:35,10,10.253.40.36:44444
28_05_23:40,24,10.253.40.36:44444
28_05_23:45,29,10.253.40.36:44444
28_05_23:50,27,10.253.40.36:44444
28_05_23:55,25,10.253.40.36:44444
29_05_00:00,360,10.253.40.11:44444
29_05_00:05,392,10.253.40.11:44444
29_05_00:10,397,10.253.40.11:44444
29_05_00:15,409,10.253.40.11:44444
29_05_00:20,407,10.253.40.11:44444
29_05_00:25,412,10.253.40.11:44444
29_05_00:30,409,10.253.40.11:44444
29_05_00:35,391,10.253.40.11:44444
29_05_00:40,392,10.253.40.11:44444
29_05_00:45,405,10.253.40.11:44444
29_05_00:50,416,10.253.40.11:44444
29_05_00:55,413,10.253.40.11:44444
29_05_00:00,533,10.253.40.12:44444
29_05_00:05,529,10.253.40.12:44444
29_05_00:10,518,10.253.40.12:44444
29_05_00:15,514,10.253.40.12:44444
29_05_00:20,529,10.253.40.12:44444
29_05_00:25,526,10.253.40.12:44444
29_05_00:30,514,10.253.40.12:44444
29_05_00:35,531,10.253.40.12:44444
29_05_00:40,529,10.253.40.12:44444
29_05_00:45,527,10.253.40.12:44444
29_05_00:50,529,10.253.40.12:44444
29_05_00:55,529,10.253.40.12:44444
29_05_00:00,508,10.253.40.13:44444
29_05_00:05,508,10.253.40.13:44444
29_05_00:10,524,10.253.40.13:44444
29_05_00:15,531,10.253.40.13:44444
29_05_00:20,529,10.253.40.13:44444
29_05_00:25,523,10.253.40.13:44444
29_05_00:30,527,10.253.40.13:44444
29_05_00:35,508,10.253.40.13:44444
29_05_00:40,518,10.253.40.13:44444
29_05_00:45,512,10.253.40.13:44444
29_05_00:50,511,10.253.40.13:44444
29_05_00:55,497,10.253.40.13:44444
29_05_00:00,549,10.253.40.14:44444
29_05_00:05,578,10.253.40.14:44444
29_05_00:10,573,10.253.40.14:44444
29_05_00:15,573,10.253.40.14:44444
29_05_00:20,562,10.253.40.14:44444
29_05_00:25,562,10.253.40.14:44444
29_05_00:30,555,10.253.40.14:44444
29_05_00:35,548,10.253.40.14:44444
29_05_00:40,530,10.253.40.14:44444
29_05_00:45,524,10.253.40.14:44444
29_05_00:50,549,10.253.40.14:44444
29_05_00:55,556,10.253.40.14:44444
29_05_00:00,425,10.253.40.15:44444
29_05_00:05,439,10.253.40.15:44444
29_05_00:10,437,10.253.40.15:44444
29_05_00:15,429,10.253.40.15:44444
29_05_00:20,431,10.253.40.15:44444
29_05_00:25,418,10.253.40.15:44444
29_05_00:30,419,10.253.40.15:44444
29_05_00:35,413,10.253.40.15:44444
29_05_00:40,421,10.253.40.15:44444
29_05_00:45,433,10.253.40.15:44444
29_05_00:50,432,10.253.40.15:44444
29_05_00:55,428,10.253.40.15:44444
29_05_00:00,463,10.253.40.17:44444
29_05_00:05,448,10.253.40.17:44444
29_05_00:10,442,10.253.40.17:44444
29_05_00:15,423,10.253.40.17:44444
29_05_00:20,435,10.253.40.17:44444
29_05_00:25,441,10.253.40.17:44444
29_05_00:30,434,10.253.40.17:44444
29_05_00:35,428,10.253.40.17:44444
29_05_00:40,425,10.253.40.17:44444
29_05_00:45,451,10.253.40.17:44444
29_05_00:50,463,10.253.40.17:44444
29_05_00:55,481,10.253.40.17:44444
29_05_00:00,459,10.253.40.18:44444
29_05_00:05,498,10.253.40.18:44444
29_05_00:10,481,10.253.40.18:44444
29_05_00:15,475,10.253.40.18:44444
29_05_00:20,419,10.253.40.18:44444
29_05_00:25,442,10.253.40.18:44444
29_05_00:30,448,10.253.40.18:44444
29_05_00:35,480,10.253.40.18:44444
29_05_00:40,463,10.253.40.18:44444
29_05_00:45,472,10.253.40.18:44444
29_05_00:50,458,10.253.40.18:44444
29_05_00:55,457,10.253.40.18:44444
29_05_00:00,446,10.253.40.19:44444
29_05_00:05,453,10.253.40.19:44444
29_05_00:10,440,10.253.40.19:44444
29_05_00:15,462,10.253.40.19:44444
29_05_00:20,472,10.253.40.19:44444
29_05_00:25,475,10.253.40.19:44444
29_05_00:30,467,10.253.40.19:44444
29_05_00:35,467,10.253.40.19:44444
29_05_00:40,457,10.253.40.19:44444
29_05_00:45,461,10.253.40.19:44444
29_05_00:50,468,10.253.40.19:44444
29_05_00:55,463,10.253.40.19:44444
29_05_00:00,549,10.253.40.20:44444
29_05_00:05,555,10.253.40.20:44444
29_05_00:10,593,10.253.40.20:44444
29_05_00:15,580,10.253.40.20:44444
29_05_00:20,583,10.253.40.20:44444
29_05_00:25,536,10.253.40.20:44444
29_05_00:30,515,10.253.40.20:44444
29_05_00:35,491,10.253.40.20:44444
29_05_00:40,493,10.253.40.20:44444
29_05_00:45,526,10.253.40.20:44444
29_05_00:50,538,10.253.40.20:44444
29_05_00:55,537,10.253.40.20:44444
29_05_00:00,549,10.253.40.21:44444
29_05_00:05,566,10.253.40.21:44444
29_05_00:10,540,10.253.40.21:44444
29_05_00:15,529,10.253.40.21:44444
29_05_00:20,523,10.253.40.21:44444
29_05_00:25,530,10.253.40.21:44444
29_05_00:30,533,10.253.40.21:44444
29_05_00:35,555,10.253.40.21:44444
29_05_00:40,545,10.253.40.21:44444
29_05_00:45,540,10.253.40.21:44444
29_05_00:50,545,10.253.40.21:44444
29_05_00:55,544,10.253.40.21:44444
29_05_00:00,435,10.253.40.22:44444
29_05_00:05,453,10.253.40.22:44444
29_05_00:10,446,10.253.40.22:44444
29_05_00:15,450,10.253.40.22:44444
29_05_00:20,430,10.253.40.22:44444
29_05_00:25,444,10.253.40.22:44444
29_05_00:30,455,10.253.40.22:44444
29_05_00:35,460,10.253.40.22:44444
29_05_00:40,466,10.253.40.22:44444
29_05_00:45,478,10.253.40.22:44444
29_05_00:50,481,10.253.40.22:44444
29_05_00:55,486,10.253.40.22:44444
29_05_00:00,504,10.253.40.23:44444
29_05_00:05,502,10.253.40.23:44444
29_05_00:10,514,10.253.40.23:44444
29_05_00:15,529,10.253.40.23:44444
29_05_00:20,547,10.253.40.23:44444
29_05_00:25,546,10.253.40.23:44444
29_05_00:30,523,10.253.40.23:44444
29_05_00:35,506,10.253.40.23:44444
29_05_00:40,501,10.253.40.23:44444
29_05_00:45,487,10.253.40.23:44444
29_05_00:50,472,10.253.40.23:44444
29_05_00:55,498,10.253.40.23:44444
29_05_00:00,521,10.253.40.24:44444
29_05_00:05,511,10.253.40.24:44444
29_05_00:10,502,10.253.40.24:44444
29_05_00:15,524,10.253.40.24:44444
29_05_00:20,523,10.253.40.24:44444
29_05_00:25,536,10.253.40.24:44444
29_05_00:30,514,10.253.40.24:44444
29_05_00:35,527,10.253.40.24:44444
29_05_00:40,542,10.253.40.24:44444
29_05_00:45,561,10.253.40.24:44444
29_05_00:50,527,10.253.40.24:44444
29_05_00:55,520,10.253.40.24:44444
29_05_00:00,403,10.253.40.25:44444
29_05_00:05,421,10.253.40.25:44444
29_05_00:10,428,10.253.40.25:44444
29_05_00:15,451,10.253.40.25:44444
29_05_00:20,461,10.253.40.25:44444
29_05_00:25,457,10.253.40.25:44444
29_05_00:30,422,10.253.40.25:44444
29_05_00:35,418,10.253.40.25:44444
29_05_00:40,422,10.253.40.25:44444
29_05_00:45,425,10.253.40.25:44444
29_05_00:50,420,10.253.40.25:44444
29_05_00:55,405,10.253.40.25:44444
29_05_00:00,484,10.253.40.26:44444
29_05_00:05,490,10.253.40.26:44444
29_05_00:10,491,10.253.40.26:44444
29_05_00:15,497,10.253.40.26:44444
29_05_00:20,482,10.253.40.26:44444
29_05_00:25,468,10.253.40.26:44444
29_05_00:30,482,10.253.40.26:44444
29_05_00:35,475,10.253.40.26:44444
29_05_00:40,493,10.253.40.26:44444
29_05_00:45,506,10.253.40.26:44444
29_05_00:50,495,10.253.40.26:44444
29_05_00:55,521,10.253.40.26:44444
29_05_00:00,658,10.253.40.27:44444
29_05_00:05,636,10.253.40.27:44444
29_05_00:10,647,10.253.40.27:44444
29_05_00:15,646,10.253.40.27:44444
29_05_00:20,668,10.253.40.27:44444
29_05_00:25,661,10.253.40.27:44444
29_05_00:30,623,10.253.40.27:44444
29_05_00:35,623,10.253.40.27:44444
29_05_00:40,633,10.253.40.27:44444
29_05_00:45,633,10.253.40.27:44444
29_05_00:50,643,10.253.40.27:44444
29_05_00:55,674,10.253.40.27:44444
29_05_00:00,445,10.253.40.28:44444
29_05_00:05,452,10.253.40.28:44444
29_05_00:10,443,10.253.40.28:44444
29_05_00:15,441,10.253.40.28:44444
29_05_00:20,462,10.253.40.28:44444
29_05_00:25,527,10.253.40.28:44444
29_05_00:30,513,10.253.40.28:44444
29_05_00:35,472,10.253.40.28:44444
29_05_00:40,468,10.253.40.28:44444
29_05_00:45,476,10.253.40.28:44444
29_05_00:50,480,10.253.40.28:44444
29_05_00:55,478,10.253.40.28:44444
29_05_00:00,357,10.253.40.29:44444
29_05_00:05,364,10.253.40.29:44444
29_05_00:10,334,10.253.40.29:44444
29_05_00:15,329,10.253.40.29:44444
29_05_00:20,312,10.253.40.29:44444
29_05_00:25,312,10.253.40.29:44444
29_05_00:30,326,10.253.40.29:44444
29_05_00:35,338,10.253.40.29:44444
29_05_00:40,329,10.253.40.29:44444
29_05_00:45,335,10.253.40.29:44444
29_05_00:50,322,10.253.40.29:44444
29_05_00:55,315,10.253.40.29:44444
29_05_00:00,619,10.253.40.30:44444
29_05_00:05,631,10.253.40.30:44444
29_05_00:10,602,10.253.40.30:44444
29_05_00:15,602,10.253.40.30:44444
29_05_00:20,589,10.253.40.30:44444
29_05_00:25,573,10.253.40.30:44444
29_05_00:30,560,10.253.40.30:44444
29_05_00:35,574,10.253.40.30:44444
29_05_00:40,583,10.253.40.30:44444
29_05_00:45,610,10.253.40.30:44444
29_05_00:50,616,10.253.40.30:44444
29_05_00:55,580,10.253.40.30:44444
29_05_00:00,540,10.253.40.31:44444
29_05_00:05,546,10.253.40.31:44444
29_05_00:10,536,10.253.40.31:44444
29_05_00:15,608,10.253.40.31:44444
29_05_00:20,644,10.253.40.31:44444
29_05_00:25,578,10.253.40.31:44444
29_05_00:30,567,10.253.40.31:44444
29_05_00:35,560,10.253.40.31:44444
29_05_00:40,532,10.253.40.31:44444
29_05_00:45,520,10.253.40.31:44444
29_05_00:50,525,10.253.40.31:44444
29_05_00:55,522,10.253.40.31:44444
29_05_00:00,477,10.253.40.32:44444
29_05_00:05,484,10.253.40.32:44444
29_05_00:10,469,10.253.40.32:44444
29_05_00:15,494,10.253.40.32:44444
29_05_00:20,504,10.253.40.32:44444
29_05_00:25,497,10.253.40.32:44444
29_05_00:30,484,10.253.40.32:44444
29_05_00:35,486,10.253.40.32:44444
29_05_00:40,490,10.253.40.32:44444
29_05_00:45,476,10.253.40.32:44444
29_05_00:50,496,10.253.40.32:44444
29_05_00:55,516,10.253.40.32:44444
29_05_00:00,31,10.253.40.33:44444
29_05_00:05,19,10.253.40.33:44444
29_05_00:10,11,10.253.40.33:44444
29_05_00:15,17,10.253.40.33:44444
29_05_00:20,27,10.253.40.33:44444
29_05_00:25,18,10.253.40.33:44444
29_05_00:30,11,10.253.40.33:44444
29_05_00:35,11,10.253.40.33:44444
29_05_00:40,13,10.253.40.33:44444
29_05_00:45,16,10.253.40.33:44444
29_05_00:50,14,10.253.40.33:44444
29_05_00:55,12,10.253.40.33:44444
29_05_00:00,125,10.253.40.34:44444
29_05_00:05,115,10.253.40.34:44444
29_05_00:10,119,10.253.40.34:44444
29_05_00:15,110,10.253.40.34:44444
29_05_00:20,106,10.253.40.34:44444
29_05_00:25,101,10.253.40.34:44444
29_05_00:30,105,10.253.40.34:44444
29_05_00:35,127,10.253.40.34:44444
29_05_00:40,130,10.253.40.34:44444
29_05_00:45,111,10.253.40.34:44444
29_05_00:50,115,10.253.40.34:44444
29_05_00:55,115,10.253.40.34:44444
29_05_00:00,45,10.253.40.35:44444
29_05_00:05,44,10.253.40.35:44444
29_05_00:10,47,10.253.40.35:44444
29_05_00:15,46,10.253.40.35:44444
29_05_00:20,46,10.253.40.35:44444
29_05_00:25,48,10.253.40.35:44444
29_05_00:30,48,10.253.40.35:44444
29_05_00:35,50,10.253.40.35:44444
29_05_00:40,47,10.253.40.35:44444
29_05_00:45,63,10.253.40.35:44444
29_05_00:50,80,10.253.40.35:44444
29_05_00:55,72,10.253.40.35:44444
29_05_00:00,20,10.253.40.36:44444
29_05_00:05,31,10.253.40.36:44444
29_05_00:10,30,10.253.40.36:44444
29_05_00:15,26,10.253.40.36:44444
29_05_00:20,17,10.253.40.36:44444
29_05_00:25,16,10.253.40.36:44444
29_05_00:30,49,10.253.40.36:44444
29_05_00:35,46,10.253.40.36:44444
29_05_00:40,31,10.253.40.36:44444
29_05_00:45,30,10.253.40.36:44444
29_05_00:50,15,10.253.40.36:44444
29_05_00:55,11,10.253.40.36:44444
29_05_01:00,409,10.253.40.11:44444
29_05_01:05,372,10.253.40.11:44444
29_05_01:10,360,10.253.40.11:44444
29_05_01:15,362,10.253.40.11:44444
29_05_01:20,365,10.253.40.11:44444
29_05_01:25,368,10.253.40.11:44444
29_05_01:30,390,10.253.40.11:44444
29_05_01:35,429,10.253.40.11:44444
29_05_01:40,427,10.253.40.11:44444
29_05_01:45,411,10.253.40.11:44444
29_05_01:50,389,10.253.40.11:44444
29_05_01:55,389,10.253.40.11:44444
29_05_01:00,559,10.253.40.12:44444
29_05_01:05,573,10.253.40.12:44444
29_05_01:10,554,10.253.40.12:44444
29_05_01:15,545,10.253.40.12:44444
29_05_01:20,527,10.253.40.12:44444
29_05_01:25,529,10.253.40.12:44444
29_05_01:30,536,10.253.40.12:44444
29_05_01:35,586,10.253.40.12:44444
29_05_01:40,578,10.253.40.12:44444
29_05_01:45,546,10.253.40.12:44444
29_05_01:50,530,10.253.40.12:44444
29_05_01:55,535,10.253.40.12:44444
29_05_01:00,525,10.253.40.13:44444
29_05_01:05,536,10.253.40.13:44444
29_05_01:10,548,10.253.40.13:44444
29_05_01:15,558,10.253.40.13:44444
29_05_01:20,559,10.253.40.13:44444
29_05_01:25,544,10.253.40.13:44444
29_05_01:30,518,10.253.40.13:44444
29_05_01:35,527,10.253.40.13:44444
29_05_01:40,532,10.253.40.13:44444
29_05_01:45,526,10.253.40.13:44444
29_05_01:50,513,10.253.40.13:44444
29_05_01:55,503,10.253.40.13:44444
29_05_01:00,554,10.253.40.14:44444
29_05_01:05,577,10.253.40.14:44444
29_05_01:10,569,10.253.40.14:44444
29_05_01:15,551,10.253.40.14:44444
29_05_01:20,535,10.253.40.14:44444
29_05_01:25,515,10.253.40.14:44444
29_05_01:30,519,10.253.40.14:44444
29_05_01:35,532,10.253.40.14:44444
29_05_01:40,540,10.253.40.14:44444
29_05_01:45,523,10.253.40.14:44444
29_05_01:50,513,10.253.40.14:44444
29_05_01:55,507,10.253.40.14:44444
29_05_01:00,439,10.253.40.15:44444
29_05_01:05,456,10.253.40.15:44444
29_05_01:10,466,10.253.40.15:44444
29_05_01:15,490,10.253.40.15:44444
29_05_01:20,473,10.253.40.15:44444
29_05_01:25,497,10.253.40.15:44444
29_05_01:30,503,10.253.40.15:44444
29_05_01:35,535,10.253.40.15:44444
29_05_01:40,522,10.253.40.15:44444
29_05_01:45,501,10.253.40.15:44444
29_05_01:50,494,10.253.40.15:44444
29_05_01:55,475,10.253.40.15:44444
29_05_01:00,462,10.253.40.17:44444
29_05_01:05,486,10.253.40.17:44444
29_05_01:10,480,10.253.40.17:44444
29_05_01:15,502,10.253.40.17:44444
29_05_01:20,483,10.253.40.17:44444
29_05_01:25,471,10.253.40.17:44444
29_05_01:30,452,10.253.40.17:44444
29_05_01:35,530,10.253.40.17:44444
29_05_01:40,519,10.253.40.17:44444
29_05_01:45,530,10.253.40.17:44444
29_05_01:50,493,10.253.40.17:44444
29_05_01:55,500,10.253.40.17:44444
29_05_01:00,470,10.253.40.18:44444
29_05_01:05,484,10.253.40.18:44444
29_05_01:10,488,10.253.40.18:44444
29_05_01:15,486,10.253.40.18:44444
29_05_01:20,472,10.253.40.18:44444
29_05_01:25,457,10.253.40.18:44444
29_05_01:30,467,10.253.40.18:44444
29_05_01:35,464,10.253.40.18:44444
29_05_01:40,498,10.253.40.18:44444
29_05_01:45,492,10.253.40.18:44444
29_05_01:50,481,10.253.40.18:44444
29_05_01:55,474,10.253.40.18:44444
29_05_01:00,451,10.253.40.19:44444
29_05_01:05,473,10.253.40.19:44444
29_05_01:10,482,10.253.40.19:44444
29_05_01:15,488,10.253.40.19:44444
29_05_01:20,472,10.253.40.19:44444
29_05_01:25,450,10.253.40.19:44444
29_05_01:30,444,10.253.40.19:44444
29_05_01:35,442,10.253.40.19:44444
29_05_01:40,432,10.253.40.19:44444
29_05_01:45,473,10.253.40.19:44444
29_05_01:50,472,10.253.40.19:44444
29_05_01:55,471,10.253.40.19:44444
29_05_01:00,549,10.253.40.20:44444
29_05_01:05,551,10.253.40.20:44444
29_05_01:10,546,10.253.40.20:44444
29_05_01:15,521,10.253.40.20:44444
29_05_01:20,546,10.253.40.20:44444
29_05_01:25,534,10.253.40.20:44444
29_05_01:30,563,10.253.40.20:44444
29_05_01:35,541,10.253.40.20:44444
29_05_01:40,555,10.253.40.20:44444
29_05_01:45,539,10.253.40.20:44444
29_05_01:50,530,10.253.40.20:44444
29_05_01:55,521,10.253.40.20:44444
29_05_01:00,530,10.253.40.21:44444
29_05_01:05,526,10.253.40.21:44444
29_05_01:10,528,10.253.40.21:44444
29_05_01:15,526,10.253.40.21:44444
29_05_01:20,533,10.253.40.21:44444
29_05_01:25,535,10.253.40.21:44444
29_05_01:30,522,10.253.40.21:44444
29_05_01:35,525,10.253.40.21:44444
29_05_01:40,514,10.253.40.21:44444
29_05_01:45,529,10.253.40.21:44444
29_05_01:50,523,10.253.40.21:44444
29_05_01:55,513,10.253.40.21:44444
29_05_01:00,490,10.253.40.22:44444
29_05_01:05,504,10.253.40.22:44444
29_05_01:10,500,10.253.40.22:44444
29_05_01:15,492,10.253.40.22:44444
29_05_01:20,472,10.253.40.22:44444
29_05_01:25,471,10.253.40.22:44444
29_05_01:30,459,10.253.40.22:44444
29_05_01:35,472,10.253.40.22:44444
29_05_01:40,458,10.253.40.22:44444
29_05_01:45,478,10.253.40.22:44444
29_05_01:50,500,10.253.40.22:44444
29_05_01:55,486,10.253.40.22:44444
29_05_01:00,495,10.253.40.23:44444
29_05_01:05,538,10.253.40.23:44444
29_05_01:10,515,10.253.40.23:44444
29_05_01:15,520,10.253.40.23:44444
29_05_01:20,490,10.253.40.23:44444
29_05_01:25,498,10.253.40.23:44444
29_05_01:30,514,10.253.40.23:44444
29_05_01:35,550,10.253.40.23:44444
29_05_01:40,511,10.253.40.23:44444
29_05_01:45,478,10.253.40.23:44444
29_05_01:50,449,10.253.40.23:44444
29_05_01:55,449,10.253.40.23:44444
29_05_01:00,534,10.253.40.24:44444
29_05_01:05,580,10.253.40.24:44444
29_05_01:10,561,10.253.40.24:44444
29_05_01:15,567,10.253.40.24:44444
29_05_01:20,549,10.253.40.24:44444
29_05_01:25,556,10.253.40.24:44444
29_05_01:30,552,10.253.40.24:44444
29_05_01:35,578,10.253.40.24:44444
29_05_01:40,586,10.253.40.24:44444
29_05_01:45,578,10.253.40.24:44444
29_05_01:50,549,10.253.40.24:44444
29_05_01:55,504,10.253.40.24:44444
29_05_01:00,411,10.253.40.25:44444
29_05_01:05,453,10.253.40.25:44444
29_05_01:10,465,10.253.40.25:44444
29_05_01:15,499,10.253.40.25:44444
29_05_01:20,459,10.253.40.25:44444
29_05_01:25,455,10.253.40.25:44444
29_05_01:30,454,10.253.40.25:44444
29_05_01:35,470,10.253.40.25:44444
29_05_01:40,443,10.253.40.25:44444
29_05_01:45,463,10.253.40.25:44444
29_05_01:50,458,10.253.40.25:44444
29_05_01:55,453,10.253.40.25:44444
29_05_01:00,516,10.253.40.26:44444
29_05_01:05,524,10.253.40.26:44444
29_05_01:10,518,10.253.40.26:44444
29_05_01:15,495,10.253.40.26:44444
29_05_01:20,465,10.253.40.26:44444
29_05_01:25,442,10.253.40.26:44444
29_05_01:30,446,10.253.40.26:44444
29_05_01:35,482,10.253.40.26:44444
29_05_01:40,517,10.253.40.26:44444
