time,abgw_detached_files,instance
25_05_14:35,0,10.253.40.24:44444
25_05_14:40,1,10.253.40.24:44444
25_05_14:45,0,10.253.40.24:44444
25_05_14:50,0,10.253.40.24:44444
25_05_14:55,0,10.253.40.24:44444
25_05_14:00,0,10.253.40.25:44444
25_05_14:05,0,10.253.40.25:44444
25_05_14:10,0,10.253.40.25:44444
25_05_14:15,0,10.253.40.25:44444
25_05_14:20,2,10.253.40.25:44444
25_05_14:25,0,10.253.40.25:44444
25_05_14:30,1,10.253.40.25:44444
25_05_14:35,0,10.253.40.25:44444
25_05_14:40,0,10.253.40.25:44444
25_05_14:45,0,10.253.40.25:44444
25_05_14:50,0,10.253.40.25:44444
25_05_14:55,0,10.253.40.25:44444
25_05_14:00,0,10.253.40.26:44444
25_05_14:05,0,10.253.40.26:44444
25_05_14:10,2,10.253.40.26:44444
25_05_14:15,0,10.253.40.26:44444
25_05_14:20,0,10.253.40.26:44444
25_05_14:25,0,10.253.40.26:44444
25_05_14:30,0,10.253.40.26:44444
25_05_14:35,1,10.253.40.26:44444
25_05_14:40,0,10.253.40.26:44444
25_05_14:45,0,10.253.40.26:44444
25_05_14:50,0,10.253.40.26:44444
25_05_14:55,0,10.253.40.26:44444
25_05_14:00,0,10.253.40.27:44444
25_05_14:05,0,10.253.40.27:44444
25_05_14:10,0,10.253.40.27:44444
25_05_14:15,0,10.253.40.27:44444
25_05_14:20,0,10.253.40.27:44444
25_05_14:25,0,10.253.40.27:44444
25_05_14:30,0,10.253.40.27:44444
25_05_14:35,1,10.253.40.27:44444
25_05_14:40,1,10.253.40.27:44444
25_05_14:45,0,10.253.40.27:44444
25_05_14:50,0,10.253.40.27:44444
25_05_14:55,0,10.253.40.27:44444
25_05_14:00,0,10.253.40.28:44444
25_05_14:05,0,10.253.40.28:44444
25_05_14:10,0,10.253.40.28:44444
25_05_14:15,0,10.253.40.28:44444
25_05_14:20,0,10.253.40.28:44444
25_05_14:25,0,10.253.40.28:44444
25_05_14:30,0,10.253.40.28:44444
25_05_14:35,0,10.253.40.28:44444
25_05_14:40,0,10.253.40.28:44444
25_05_14:45,0,10.253.40.28:44444
25_05_14:50,0,10.253.40.28:44444
